"","var","cat","n","n_total","percent","se","t_crit","lcl","ucl"
"1","num_strains_am_mutations","0",73,76,96.0526315789474,2.24842203824146,1.99210215400224,88.1896535449515,98.7545992615399
"2","num_strains_am_mutations","1",3,76,3.94736842105263,2.24842203824146,1.99210215400224,1.24540073846009,11.8103464550485
"3","num_strains_bdq_mutations","0",161,165,97.5757575757576,1.20098356818623,1.97453457585847,93.658924191972,99.0965317287667
"4","num_strains_bdq_mutations","1",4,165,2.42424242424242,1.20098356818623,1.97453457585847,0.903468271233298,6.34107580802795
"5","num_strains_cm_mutations","0",214,222,96.3963963963964,1.25372639388225,1.97075627048947,92.9252212921068,98.1975068100846
"6","num_strains_cm_mutations","1",8,222,3.6036036036036,1.25372639388225,1.97075627048947,1.80249318991538,7.07477870789323
"7","num_strains_cfz_mutations","0",139,144,96.5277777777778,1.53095311750037,1.97669219792979,91.8499557452743,98.562717748284
"8","num_strains_cfz_mutations","1",5,144,3.47222222222222,1.53095311750037,1.97669219792979,1.43728225171597,8.15004425472574
"9","num_strains_cs_mutations","0",232,245,94.6938775510204,1.43500915267315,1.96973399227238,91.0457633417846,96.9061914639452
"10","num_strains_cs_mutations","1",13,245,5.30612244897959,1.43500915267315,1.96973399227238,3.09380853605483,8.95423665821542
"11","num_strains_e_mutations","0",290,298,97.3154362416107,0.937884813532438,1.96798352537622,94.7046496217094,98.6572670112532
"12","num_strains_e_mutations","1",8,298,2.68456375838926,0.937884813532439,1.96798352537622,1.34273298874683,5.29535037829065
"13","num_strains_eto_mutations","0",247,258,95.7364341085271,1.26025535525652,1.96923749623368,92.4386056088199,97.6327800376592
"14","num_strains_eto_mutations","1",11,258,4.26356589147287,1.26025535525652,1.96923749623368,2.36721996234083,7.56139439118007
"15","num_strains_fq_mutations","0",306,352,86.9318181818182,1.79905071975898,1.96674556094765,82.9697798560589,90.0822797340888
"16","num_strains_fq_mutations","1",46,352,13.0681818181818,1.79905071975898,1.96674556094765,9.9177202659112,17.0302201439411
"17","num_strains_h_mutations","0",223,231,96.5367965367965,1.2056507679741,1.97033177327508,93.1959600736814,98.2677463806107
"18","num_strains_h_mutations","1",8,231,3.46320346320346,1.2056507679741,1.97033177327508,1.73225361938929,6.80403992631856
"19","num_strains_km_mutations","0",30,31,96.7741935483871,3.2258064516129,2.04227245630124,78.4290886482433,99.5976396185985
"20","num_strains_km_mutations","1",1,31,3.2258064516129,3.2258064516129,2.04227245630124,0.402360381401457,21.5709113517567
"21","num_strains_lzd_mutations","0",119,121,98.3471074380165,1.16389146965717,1.97993040508242,93.5134118669791,99.594436626128
"22","num_strains_lzd_mutations","1",2,121,1.65289256198347,1.16389146965717,1.97993040508242,0.405563373871996,6.48658813302086
"23","num_strains_z_mutations","0",422,438,96.3470319634703,0.897431662304077,1.96540733337266,94.110310161234,97.7545831793121
"24","num_strains_z_mutations","1",16,438,3.65296803652968,0.897431662304077,1.96540733337266,2.24541682068792,5.88968983876602
"25","num_strains_r_mutations","0",181,184,98.3695652173913,0.936173938466031,1.97301191513626,95.0179795352606,99.4787859426532
"26","num_strains_r_mutations","1",3,184,1.6304347826087,0.936173938466032,1.97301191513626,0.52121405734675,4.98202046473939
"27","num_strains_s_mutations","0",37,39,94.8717948717949,3.57815751243262,2.02439416391197,80.6732520242306,98.7950678626193
"28","num_strains_s_mutations","1",2,39,5.12820512820513,3.57815751243262,2.02439416391197,1.20493213738071,19.3267479757694
