lineage	num_samples	alignment	
lineage1.1	1	lineage1.1	
lineage1.1.1	7	lineage1.1	
lineage1.1.1.1	5	lineage1.1	
lineage1.1.2	293	lineage1.1	
lineage1.1.3	13	lineage1.1	
lineage1.1.3.1	99	lineage1.1	
lineage1.1.3.2	180	lineage1.1	
lineage1.1.3.3	9	lineage1.1	607
lineage1.2.1.1	25	lineage1.2	
lineage1.2.1.2	6	lineage1.2	
lineage1.2.1.2.1	44	lineage1.2	
lineage1.2.2	1	lineage1.2	
lineage1.2.2.1	74	lineage1.2	
lineage1.2.2.2	179	lineage1.2	329
lineage2	3	lineage2	
lineage2.1	9	lineage2	
lineage2.2	36	lineage2	
lineage2.2.1	5174	lineage2	
lineage2.2.1.1	386	lineage2	
lineage2.2.1.2	9	lineage2	
lineage2.2.2	322	lineage2	5939
lineage3	1151	lineage3	
lineage3.1	29	lineage3	
lineage3.1.1	354	lineage3	
lineage3.1.2	89	lineage3	
lineage3.1.2.1	59	lineage3	
lineage3.1.2.2	22	lineage3	
lineage3.1.3	45	lineage3	1749
lineage4	88	lineage4.1	
lineage4.1	22	lineage4.1	
lineage4.1.1	11	lineage4.1	
lineage4.1.1.1	152	lineage4.1	
lineage4.1.1.2	5	lineage4.1	
lineage4.1.1.3	288	lineage4.1	
lineage4.1.1.3.1	111	lineage4.1	
lineage4.1.2	552	lineage4.1	
lineage4.1.2.1	598	lineage4.1	
lineage4.1.2.1.1	25	lineage4.1	
lineage4.1.3	41	lineage4.1	
lineage4.1.4	21	lineage4.1	1914
lineage4.2	1	lineage4.2	
lineage4.2.1	330	lineage4.2	
lineage4.2.1.1	111	lineage4.2	
lineage4.2.2	61	lineage4.2	
lineage4.2.2.1	10	lineage4.2	
lineage4.2.2.2	80	lineage4.2	593
lineage4.3	14	lineage4.3	
lineage4.3.1	21	lineage4.3	
lineage4.3.1.1	10	lineage4.3	
lineage4.3.2	231	lineage4.3	
lineage4.3.2.1	1020	lineage4.3	
lineage4.3.3	887	lineage4.3	
lineage4.3.4	4	lineage4.3	
lineage4.3.4.1	123	lineage4.3	
lineage4.3.4.2	112	lineage4.3	
lineage4.3.4.2.1	1082	lineage4.3	3504
lineage4.4	7	lineage4.4	
lineage4.4.1	4	lineage4.4	
lineage4.4.1.1	369	lineage4.4	
lineage4.4.1.1.1	234	lineage4.4	
lineage4.4.1.2	23	lineage4.4	
lineage4.4.2	112	lineage4.4	749
lineage4.8	2048	lineage4.8	
lineage4.8.1	113	lineage4.8	
lineage4.8.2	79	lineage4.8	2240
lineage4.5	88	lineage4.5_4.9	Except 4.8
lineage4.6	32	lineage4.5_4.9	
lineage4.6.1	3	lineage4.5_4.9	
lineage4.6.1.1	30	lineage4.5_4.9	
lineage4.6.1.2	28	lineage4.5_4.9	
lineage4.6.2	2	lineage4.5_4.9	
lineage4.6.2.1	2	lineage4.5_4.9	
lineage4.6.2.2	744	lineage4.5_4.9	
lineage4.6.3	26	lineage4.5_4.9	
lineage4.6.4	8	lineage4.5_4.9	
lineage4.6.5	39	lineage4.5_4.9	
lineage4.7	89	lineage4.5_4.9	
lineage4.9	152	lineage4.5_4.9	
lineage4.9.1	74	lineage4.5_4.9	1317
lineage5	2	lineage5_9	
lineage5.1	2	lineage5_9	
lineage5.1.1	22	lineage5_9	
lineage5.1.2	8	lineage5_9	
lineage5.1.3	2	lineage5_9	
lineage5.1.4	4	lineage5_9	
lineage5.1.5	1	lineage5_9	
lineage6	1	lineage5_9	
lineage6.1.1	8	lineage5_9	
lineage6.1.2	1	lineage5_9	
lineage6.2	2	lineage5_9	
lineage6.2.3	1	lineage5_9	
lineage6.3.1	16	lineage5_9	
lineage9	3	lineage5_9	73
